year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2015,15/06/2015,107679,New,greater than or equal to 38 sq metres and less than 125 sq metres,"8 Westpark, Tallaght, Dublin 24, D24 AT2R, Ireland",53.2873413,-6.3636668,South Dublin
2017,10/03/2017,590000,New,,"3 Arnold Park, Glenageary, Dublin, A96 F7D6, Ireland",53.2710631,-6.1339874,DLR
2015,20/07/2015,805000,New,,"51 Parkmore Dr, Terenure, Dublin 6W, Co. Dublin, D6W C564, Ireland",53.3091601,-6.2963328,Dublin City
2015,15/06/2015,91123,New,greater than or equal to 38 sq metres and less than 125 sq metres,"336, West Park Gate, BÃƒÂ³thar an tSeanbhÃƒÂ¡bhÃƒÂºin, Tallaght, Dublin 24, Ireland",53.2873796,-6.3625987,South Dublin
2015,22/12/2015,185000,New,,"Brabazon Hall, Ardee St, Merchants Quay, Dublin 8, Ireland",53.3391423,-6.2804451,Dublin City
2013,21/03/2013,380000,New,,"64 Grace Park Rd, Clontarf, Dublin 9, D09 C5P8, Ireland",53.3745674,-6.2426249,Dublin City
2014,25/06/2014,229838,New,,"Templeogue Rd, Bushy Park House, Templeogue, Dublin 6W, Co. Dublin, Ireland",53.30517,-6.29182,Dublin City
2014,17/12/2014,78955,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Ashtown, Dublin, Ireland",53.3678093,-6.3181386,Dublin City
2014,31/03/2014,625000,New,,"6 Brewery Rd, Ellesmere, Stillorgan, Dublin, A94 AP57, Ireland",53.279091,-6.1990082,DLR
2016,21/11/2016,572687,New,greater than or equal to 125 sq metres,"Blackberry Hill, Glenamuck Rd, Dublin 18, Ireland",53.2510443,-6.1765762,DLR
2016,27/04/2016,560000,New,,"15 Botanic Rd, Drumcondra, Dublin 9, D09 V5X0, Ireland",53.3664247,-6.270793,Dublin City
2014,04/12/2014,730000,New,less than 38 sq metres,"6 Fortfield Square, Terenure, Dublin 6W, Co. Dublin, D6W FD71, Ireland",53.3040583,-6.3024865,South Dublin
2016,15/02/2016,155000,New,,"1 Willan's Grove S, Ongar Green, Dublin 15, D15 N2K1, Ireland",53.3940653,-6.4435987,Fingal
2013,20/09/2013,90000,New,,"9 Station Rd, Portmarnock, Co. Dublin, Ireland",53.4185691,-6.1509631,Fingal
2016,07/11/2016,265000,New,,"Church View, Church Ave, Grace Park Rd, Drumcondra, Dublin 9, Ireland",53.3713141,-6.2515589,Dublin City
2015,22/12/2015,187000,New,,"16 Benmadigan Rd, Crumlin, Dublin 12, D12 R262, Ireland",53.3337061,-6.3132032,Dublin City
2015,01/12/2015,172000,New,,"11 Fforster Cres, Ballydowd Manor, Lucan, Co. Dublin, K78 P029, Ireland",53.3504081,-6.4255135,South Dublin
2015,22/10/2015,315000,New,,"6 Crestfield Park, Whitehall, Dublin 9, D09 AK57, Ireland",53.3873025,-6.2517855,Dublin City
2015,11/05/2015,254000,New,,"24 Woodview Cl, Donaghmede, Dublin 13, D13 V120, Ireland",53.39356,-6.1672837,Dublin City
2016,17/05/2016,140000,New,,"178 Larkhill Rd, Whitehall, Dublin 9, D09 A024, Ireland",53.3855019,-6.2499425,Dublin City
2015,27/02/2015,90000,New,,"34 Valley Park Rd, Finglas South, Dublin, Ireland",53.382019,-6.3185739,Dublin City
2014,19/12/2014,229074,New,greater than or equal to 38 sq metres and less than 125 sq metres,"25 Millrace Park, Saggart, Co. Dublin, D24 NN25, Ireland",53.2810125,-6.4532306,South Dublin
2013,31/07/2013,208000,New,,"75b, 7 Newmarket St, Merchants Quay, Dublin, Ireland",53.3390815,-6.2760134,Dublin City
2012,12/10/2012,220264,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Booterstown Wood, Booterstown Ave, Merrion, Blackrock, Co. Dublin, Ireland",53.2992523,-6.204387,DLR
2015,31/08/2015,160000,New,,"Dublin, Ireland",53.3498053,-6.2603097,Dublin City
2015,03/09/2015,220000,New,,"Blind Quay Apartments, Exchange Street Lower, Dublin 8, Ireland",53.3449786,-6.2685152,Dublin City
2013,04/10/2013,488987,New,greater than or equal to 38 sq metres and less than 125 sq metres,"7 Claremont Ave, Honeypark, Dublin, Ireland",53.2827019,-6.1466374,DLR
